alpha,beta,expert_accuracy,expert_fault_only_accuracy,expert_macro_f1,expert_ece,hybrid_accuracy,hybrid_fault_only_accuracy,hybrid_macro_f1,hybrid_ece
0.05,0.1,0.9308,0.8728,0.789,0.1431,0.8637,0.9395,0.8503,0.1837
0.05,0.2,0.9308,0.8728,0.789,0.1426,0.8635,0.939,0.8488,0.182
0.05,0.3,0.9308,0.8728,0.789,0.1422,0.8635,0.939,0.8488,0.1817
0.05,0.4,0.9308,0.8728,0.789,0.1418,0.8635,0.939,0.8488,0.1815
0.1,0.1,0.9308,0.8728,0.789,0.1532,0.8635,0.939,0.8488,0.1949
0.1,0.2,0.9308,0.8728,0.789,0.1417,0.8635,0.939,0.8488,0.1832
0.1,0.3,0.9308,0.8728,0.789,0.1413,0.8633,0.9385,0.8482,0.1831
0.1,0.4,0.9308,0.8728,0.789,0.141,0.8633,0.9385,0.8482,0.1829
0.15,0.1,0.9308,0.8728,0.789,0.1549,0.8635,0.939,0.8488,0.1963
0.15,0.2,0.9308,0.8728,0.789,0.152,0.8635,0.939,0.8488,0.1942
0.15,0.3,0.9308,0.8728,0.789,0.1406,0.8633,0.9385,0.8482,0.1826
0.15,0.4,0.9308,0.8728,0.789,0.1402,0.8633,0.9385,0.8482,0.1821
0.2,0.1,0.9308,0.8728,0.789,0.154,0.8635,0.939,0.8488,0.1956
0.2,0.2,0.9308,0.8728,0.789,0.1549,0.8633,0.9385,0.8482,0.1955
0.2,0.3,0.9308,0.8728,0.789,0.1525,0.8633,0.9385,0.8482,0.1934
0.2,0.4,0.9308,0.8728,0.789,0.1395,0.8633,0.9385,0.8482,0.1817
