scope,model,samples,train_samples,test_samples,classes,test_size,accuracy,weighted_precision,weighted_recall,weighted_f1,fault_only_accuracy,macro_precision_faults,macro_recall_faults,macro_f1_faults
Public pooled,LogisticRegression,99,69,30,14,0.303,0.7333,0.7779,0.7333,0.7289,0.7727,0.647,0.7917,0.6858
Public pooled,DecisionTree,99,69,30,14,0.303,0.7333,0.7917,0.7333,0.7407,0.7727,0.6181,0.7222,0.6444
Public pooled,RandomForest,99,69,30,14,0.303,0.8333,0.8214,0.8333,0.822,0.7727,0.6131,0.6528,0.6249
Public pooled,ExtraTrees,99,69,30,14,0.303,0.7667,0.8298,0.7667,0.7738,0.8182,0.6339,0.7361,0.6582
Public pooled,GradientBoosting,99,69,30,14,0.303,0.8333,0.7918,0.8333,0.8063,0.7727,0.6131,0.6528,0.6249
Public pooled,MLP,99,69,30,14,0.303,0.8333,0.78,0.8333,0.7907,0.7727,0.6875,0.7222,0.6937
Public pooled,XGBoost,99,69,30,14,0.303,0.7333,0.6918,0.7333,0.7063,0.6364,0.3631,0.4028,0.3749
Public LBNL RTU,LogisticRegression,16,11,5,3,0.3125,0.6,0.6667,0.6,0.5867,0.3333,0.5,0.25,0.3333
Public LBNL RTU,DecisionTree,16,11,5,3,0.3125,0.6,0.6667,0.6,0.5867,0.3333,0.5,0.25,0.3333
Public LBNL RTU,RandomForest,16,11,5,3,0.3125,0.6,0.6667,0.6,0.5867,0.3333,0.5,0.25,0.3333
Public LBNL RTU,ExtraTrees,16,11,5,3,0.3125,0.6,0.6667,0.6,0.5867,0.3333,0.5,0.25,0.3333
Public LBNL RTU,GradientBoosting,16,11,5,3,0.3125,0.4,0.2667,0.4,0.32,0.0,0.0,0.0,0.0
Public LBNL RTU,MLP,16,11,5,3,0.3125,0.6,0.6667,0.6,0.5867,0.3333,0.5,0.25,0.3333
Public LBNL RTU,XGBoost,16,11,5,3,0.3125,0.6,0.6667,0.6,0.5867,0.3333,0.5,0.25,0.3333
Public MetroPT,LogisticRegression,60,42,18,3,0.3,0.8333,0.8381,0.8333,0.8322,0.75,0.7571,0.75,0.7483
Public MetroPT,DecisionTree,60,42,18,3,0.3,0.9444,0.9524,0.9444,0.9441,0.9167,0.9286,0.9167,0.9161
Public MetroPT,RandomForest,60,42,18,3,0.3,0.9444,0.9524,0.9444,0.9441,0.9167,0.9286,0.9167,0.9161
Public MetroPT,ExtraTrees,60,42,18,3,0.3,0.9444,0.9524,0.9444,0.9441,0.9167,0.9286,0.9167,0.9161
Public MetroPT,GradientBoosting,60,42,18,3,0.3,0.9444,0.9524,0.9444,0.9441,0.9167,0.9286,0.9167,0.9161
Public MetroPT,MLP,60,42,18,3,0.3,0.8889,0.9167,0.8889,0.8857,0.8333,0.875,0.8333,0.8286
Public MetroPT,XGBoost,60,42,18,3,0.3,0.9444,0.9524,0.9444,0.9441,0.9167,0.9286,0.9167,0.9161
