seed,samples,expert_accuracy,expert_fault_only_accuracy,expert_macro_f1,expert_ece,llm_accuracy,llm_fault_only_accuracy,llm_macro_f1,hybrid_accuracy,hybrid_fault_only_accuracy,hybrid_macro_f1,hybrid_ece
11,6300,0.9271,0.8719,0.7525,0.1467,0.8502,0.8464,0.8577,0.8597,0.9421,0.8381,0.1837
22,6300,0.9351,0.8855,0.8204,0.1511,0.8473,0.8443,0.8526,0.8602,0.9462,0.8732,0.1864
33,6300,0.9335,0.8752,0.8151,0.1307,0.8503,0.8616,0.8758,0.8581,0.941,0.8765,0.1695
44,6300,0.9324,0.8808,0.8156,0.1494,0.8508,0.852,0.8039,0.8624,0.9478,0.8494,0.1783
55,6300,0.936,0.8886,0.8213,0.1427,0.8521,0.8554,0.8406,0.8637,0.9553,0.8588,0.1771
66,6300,0.9287,0.8729,0.8077,0.1628,0.8505,0.8509,0.8619,0.8605,0.9475,0.875,0.1894
77,6300,0.9303,0.8749,0.7856,0.1491,0.854,0.8512,0.8389,0.8652,0.947,0.8502,0.1789
88,6300,0.9286,0.8728,0.7979,0.1493,0.8578,0.8466,0.8264,0.8692,0.9476,0.8469,0.1824
99,6300,0.9305,0.872,0.7695,0.1547,0.85,0.8509,0.8632,0.8575,0.9417,0.8425,0.1857
110,6300,0.9343,0.8758,0.8456,0.1382,0.8508,0.8486,0.855,0.8659,0.9478,0.888,0.1766
